<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.03.16	81.51	87.92	81.20	85.75	13706	0	0
2020.03.17	86.55	92.77	84.35	91.10	15301	0	0
2020.03.18	89.34	92.03	87.30	89.58	14353	0	0
2020.03.19	92.42	97.20	91.52	96.34	13164	0	0
2020.03.20	96.70	97.14	91.33	91.50	13413	0	0
2020.03.23	91.59	95.91	91.00	94.66	14285	0	0
2020.03.24	96.82	97.49	95.01	96.48	11916	0	0
2020.03.25	96.42	96.49	94.53	95.29	12569	0	0
2020.03.26	95.08	96.88	94.60	96.65	11486	0	0
2020.03.27	95.96	96.84	95.28	95.62	10354	0	0
2020.03.30	95.78	98.61	95.63	97.95	10313	0	0
2020.03.31	97.95	99.61	97.44	98.02	10376	0	0
2020.04.01	96.39	96.80	94.64	94.87	8780	0	0
2020.04.02	95.88	96.35	94.49	95.49	14526	0	0
2020.04.03	95.92	96.26	94.45	94.58	11877	0	0
2020.04.06	96.57	99.34	96.55	99.31	10949	0	0
2020.04.07	100.83	101.75	99.84	100.98	13535	0	0
2020.04.08	101.17	101.97	100.54	101.73	11796	0	0
2020.04.09	102.13	102.61	100.87	101.86	13140	0	0
2020.04.13	103.65	108.96	103.11	108.85	13291	0	0
2020.04.14	110.69	114.56	110.69	114.36	14331	0	0
2020.04.15	113.39	116.62	112.40	115.36	13058	0	0
2020.04.16	117.47	122.99	117.34	119.54	34399	0	0
2020.04.17	116.76	119.96	115.72	118.14	24380	0	0
2020.04.20	121.18	121.55	119.41	119.99	16563	0	0
2020.04.21	119.06	119.53	113.85	117.19	12804	0	0
2020.04.22	119.05	119.63	117.51	118.60	9078	0	0
2020.04.23	120.40	121.17	119.14	119.78	21849	0	0
2020.04.24	120.09	120.70	119.05	120.70	18841	0	0
2020.04.27	121.35	122.01	118.13	119.49	20653	0	0
2020.04.28	118.02	118.28	115.27	115.84	21823	0	0
2020.04.29	116.11	119.15	116.08	119.12	18558	0	0
2020.04.30	120.26	122.46	119.99	122.00	24920	0	0
2020.05.01	116.19	117.38	112.88	114.59	34989	0	0
2020.05.04	113.19	116.27	112.85	115.56	20386	0	0
2020.05.05	116.88	117.20	115.34	115.73	16850	0	0
2020.05.06	116.57	117.83	116.01	117.68	17745	0	0
