<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.05.21	12:00:00	160.58	160.83	160.11	160.17	2719	0	0
2021.05.21	16:00:00	160.17	160.85	159.91	160.13	7573	0	0
2021.05.24	08:00:00	160.87	160.96	160.56	160.83	206	0	0
2021.05.24	12:00:00	160.83	162.70	160.45	162.67	8089	0	0
2021.05.24	16:00:00	162.68	162.85	162.15	162.59	5859	0	0
2021.05.25	08:00:00	163.26	163.82	162.74	163.58	951	0	0
2021.05.25	12:00:00	163.53	163.92	160.66	161.94	11754	0	0
2021.05.25	16:00:00	161.96	163.37	161.74	163.02	9368	0	0
2021.05.26	08:00:00	163.23	163.61	163.14	163.37	359	0	0
2021.05.26	12:00:00	163.38	164.74	162.89	164.61	8307	0	0
2021.05.26	16:00:00	164.61	164.74	162.90	163.08	6879	0	0
2021.05.27	08:00:00	162.63	163.05	162.52	163.03	771	0	0
2021.05.27	12:00:00	162.97	163.30	161.68	162.75	8640	0	0
2021.05.27	16:00:00	162.75	162.87	161.78	161.87	6400	0	0
2021.05.28	08:00:00	162.13	162.37	162.05	162.15	461	0	0
2021.05.28	12:00:00	162.16	162.34	161.62	162.20	6465	0	0
2021.05.28	16:00:00	162.19	162.35	161.15	161.19	5796	0	0
2021.06.01	08:00:00	161.92	162.07	161.75	161.81	232	0	0
2021.06.01	12:00:00	161.85	162.50	160.43	161.13	9609	0	0
2021.06.01	16:00:00	161.13	161.43	160.83	161.00	5623	0	0
2021.06.02	08:00:00	160.66	161.43	160.58	161.17	458	0	0
2021.06.02	12:00:00	161.20	161.72	160.49	161.53	7044	0	0
2021.06.02	16:00:00	161.54	161.59	160.35	161.19	6762	0	0
2021.06.03	08:00:00	161.06	161.07	159.78	159.83	965	0	0
2021.06.03	12:00:00	159.84	160.68	159.23	159.98	13295	0	0
2021.06.03	16:00:00	159.97	160.16	159.29	159.37	8021	0	0
2021.06.04	08:00:00	159.60	160.04	158.88	159.84	880	0	0
2021.06.04	12:00:00	159.82	160.89	158.49	160.68	8784	0	0
2021.06.04	16:00:00	160.69	161.03	159.91	160.37	5763	0	0
2021.06.07	08:00:00	159.53	160.49	159.48	160.27	391	0	0
2021.06.07	12:00:00	160.29	160.37	159.50	159.62	8909	0	0
2021.06.07	16:00:00	159.62	160.02	158.60	159.49	6135	0	0
2021.06.08	08:00:00	160.35	160.84	159.30	160.76	1057	0	0
2021.06.08	12:00:00	160.77	163.29	160.60	162.35	9549	0	0
2021.06.08	16:00:00	162.34	163.93	162.28	163.41	6909	0	0
2021.06.09	08:00:00	163.39	163.89	163.35	163.67	409	0	0
2021.06.09	12:00:00	163.71	164.81	163.52	164.24	7898	0	0
2021.06.09	16:00:00	164.24	164.71	163.91	163.95	5555	0	0
2021.06.10	08:00:00	163.41	163.78	163.22	163.62	619	0	0
2021.06.10	12:00:00	163.62	166.69	163.14	166.32	10862	0	0
