<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	00:00:00	0.70135	0.70188	0.69779	0.69825	13726	0	0
2020.01.03	00:00:00	0.69824	0.69856	0.69296	0.69528	16112	0	0
2020.01.05	00:00:00	0.69403	0.69429	0.69322	0.69425	983	0	0
2020.01.06	00:00:00	0.69424	0.69569	0.69247	0.69360	14919	0	0
2020.01.07	00:00:00	0.69361	0.69383	0.68495	0.68579	17036	0	0
2020.01.08	00:00:00	0.68583	0.68844	0.68484	0.68734	21457	0	0
2020.01.09	00:00:00	0.68739	0.68796	0.68496	0.68525	13392	0	0
2020.01.10	00:00:00	0.68526	0.69098	0.68499	0.69052	14350	0	0
2020.01.12	00:00:00	0.68963	0.69040	0.68942	0.68991	682	0	0
2020.01.13	00:00:00	0.68991	0.69189	0.68939	0.68964	13841	0	0
2020.01.14	00:00:00	0.68965	0.69085	0.68844	0.68938	15137	0	0
2020.01.15	00:00:00	0.68938	0.69159	0.68767	0.69062	13963	0	0
2020.01.16	00:00:00	0.69064	0.69329	0.68872	0.68974	13769	0	0
2020.01.17	00:00:00	0.68975	0.69102	0.68714	0.68754	12394	0	0
2020.01.19	00:00:00	0.68713	0.68813	0.68713	0.68805	678	0	0
2020.01.20	00:00:00	0.68805	0.68877	0.68544	0.68747	10092	0	0
2020.01.21	00:00:00	0.68748	0.68796	0.68409	0.68459	14889	0	0
2020.01.22	00:00:00	0.68462	0.68553	0.68263	0.68406	13851	0	0
2020.01.23	00:00:00	0.68406	0.68779	0.68288	0.68412	17084	0	0
2020.01.24	00:00:00	0.68476	0.68563	0.68172	0.68215	13081	0	0
2020.01.26	00:00:00	0.68104	0.68146	0.68005	0.68006	1206	0	0
2020.01.27	00:00:00	0.68006	0.68162	0.67517	0.67607	14680	0	0
2020.01.28	00:00:00	0.67609	0.67642	0.67365	0.67629	14203	0	0
2020.01.29	00:00:00	0.67630	0.67765	0.67346	0.67515	14684	0	0
2020.01.30	00:00:00	0.67521	0.67526	0.66994	0.67044	18089	0	0
2020.01.31	00:00:00	0.67046	0.67287	0.66821	0.66930	16501	0	0
2020.02.02	00:00:00	0.66835	0.66942	0.66830	0.66917	1253	0	0
2020.02.03	00:00:00	0.66919	0.67062	0.66833	0.66890	16682	0	0
2020.02.04	00:00:00	0.66889	0.67409	0.66776	0.67305	17326	0	0
2020.02.05	00:00:00	0.67305	0.67734	0.67234	0.67507	16782	0	0
2020.02.06	00:00:00	0.67506	0.67640	0.67265	0.67307	14622	0	0
2020.02.07	00:00:00	0.67308	0.67310	0.66617	0.66726	15245	0	0
2020.02.09	00:00:00	0.66655	0.66773	0.66655	0.66695	1177	0	0
2020.02.10	00:00:00	0.66695	0.67065	0.66674	0.66889	15287	0	0
2020.02.11	00:00:00	0.66888	0.67359	0.66808	0.67177	14128	0	0
2020.02.12	00:00:00	0.67178	0.67490	0.67075	0.67125	14639	0	0
2020.02.13	00:00:00	0.67124	0.67443	0.67085	0.67181	15855	0	0
2020.02.14	00:00:00	0.67182	0.67304	0.67087	0.67118	11351	0	0
2020.02.16	00:00:00	0.67197	0.67283	0.67157	0.67249	816	0	0
2020.02.17	00:00:00	0.67249	0.67326	0.67062	0.67089	9250	0	0
2020.02.18	00:00:00	0.67089	0.67089	0.66732	0.66928	13367	0	0
2020.02.19	00:00:00	0.66931	0.67065	0.66647	0.66802	12422	0	0
2020.02.20	00:00:00	0.66802	0.66934	0.66098	0.66111	19042	0	0
2020.02.21	00:00:00	0.66111	0.66380	0.65854	0.66252	16593	0	0
2020.02.23	00:00:00	0.66038	0.66069	0.65926	0.66048	1406	0	0
2020.02.24	00:00:00	0.66048	0.66189	0.65864	0.66104	20260	0	0
2020.02.25	00:00:00	0.66102	0.66216	0.65860	0.66040	20793	0	0
2020.02.26	00:00:00	0.66042	0.66059	0.65414	0.65458	22442	0	0
2020.02.27	00:00:00	0.65461	0.65911	0.65424	0.65798	25724	0	0
2020.02.28	00:00:00	0.65797	0.65845	0.64336	0.65081	33646	0	0
2020.03.01	00:00:00	0.64735	0.65205	0.64723	0.65124	1958	0	0
2020.03.02	00:00:00	0.65126	0.65672	0.64881	0.65458	32949	0	0
2020.03.03	00:00:00	0.65470	0.66441	0.65090	0.65824	34018	0	0
2020.03.04	00:00:00	0.65825	0.66270	0.65825	0.66270	23292	0	0
2020.03.05	00:00:00	0.66273	0.66360	0.65835	0.66148	19690	0	0
2020.03.06	00:00:00	0.66151	0.66566	0.65847	0.66351	25513	0	0
2020.03.08	00:00:00	0.66013	0.66200	0.65934	0.66120	4363	0	0
2020.03.09	00:00:00	0.66119	0.66842	0.63157	0.65971	59925	0	0
2020.03.10	00:00:00	0.65970	0.66031	0.64623	0.64937	40208	0	0
2020.03.11	00:00:00	0.64938	0.65386	0.64700	0.64764	34841	0	0
2020.03.12	00:00:00	0.64765	0.64806	0.62122	0.62739	57364	0	0
2020.03.13	00:00:00	0.62741	0.63247	0.61231	0.61834	54458	0	0
2020.03.15	00:00:00	0.62026	0.62932	0.61151	0.61784	5979	0	0
2020.03.16	00:00:00	0.61783	0.61878	0.60784	0.61013	62116	0	0
2020.03.17	00:00:00	0.61014	0.61480	0.59587	0.59890	52862	0	0
2020.03.18	00:00:00	0.59889	0.60277	0.57016	0.57910	61102	0	0
2020.03.19	00:00:00	0.57913	0.59632	0.55084	0.57437	102595	0	0
2020.03.20	00:00:00	0.57438	0.59851	0.57091	0.57953	72558	0	0
2020.03.22	00:00:00	0.58057	0.58163	0.57030	0.57529	9518	0	0
2020.03.23	00:00:00	0.57528	0.58844	0.57000	0.58749	88787	0	0
2020.03.24	00:00:00	0.58751	0.59873	0.58646	0.59688	62312	0	0
2020.03.25	00:00:00	0.59685	0.60724	0.58918	0.59012	57150	0	0
2020.03.26	00:00:00	0.59014	0.60866	0.58700	0.60776	53353	0	0
2020.03.27	00:00:00	0.60778	0.61994	0.60224	0.61641	55631	0	0
2020.03.29	00:00:00	0.61458	0.61826	0.61109	0.61735	4303	0	0
2020.03.30	00:00:00	0.61737	0.61835	0.61118	0.61646	56515	0	0
2020.03.31	00:00:00	0.61648	0.62128	0.60738	0.61373	68993	0	0
2020.04.01	00:00:00	0.61375	0.61845	0.60385	0.60893	50750	0	0
2020.04.02	00:00:00	0.60892	0.61185	0.60065	0.60642	46422	0	0
2020.04.03	00:00:00	0.60640	0.60746	0.59795	0.59917	38225	0	0
2020.04.05	00:00:00	0.60118	0.60132	0.59915	0.59923	3141	0	0
2020.04.06	00:00:00	0.59924	0.61217	0.59907	0.61162	36885	0	0
2020.04.07	00:00:00	0.61163	0.62073	0.60972	0.61513	44958	0	0
2020.04.08	00:00:00	0.61512	0.62439	0.61152	0.62327	46613	0	0
2020.04.09	00:00:00	0.62327	0.63621	0.61950	0.63299	43814	0	0
