<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.01	00:00:00	7170.00	7237.78	7144.28	7178.98	82361	0	0
2020.01.02	00:00:00	7179.00	7187.27	6900.59	6948.27	83312	0	0
2020.01.03	00:00:00	6948.31	7401.21	6850.08	7335.89	84501	0	0
2020.01.04	00:00:00	7336.26	7392.38	7264.10	7343.15	82495	0	0
2020.01.05	00:00:00	7342.99	7485.26	7306.86	7350.96	82886	0	0
2020.01.06	00:00:00	7351.00	7788.99	7340.70	7748.85	83624	0	0
2020.01.07	00:00:00	7749.01	8194.27	7711.92	8146.92	84704	0	0
2020.01.08	00:00:00	8146.42	8448.21	7859.45	8035.66	85670	0	0
2020.01.09	00:00:00	8035.44	8035.44	7733.96	7802.75	84640	0	0
2020.01.10	00:00:00	7802.62	8182.53	7663.97	8181.07	85167	0	0
2020.01.11	00:00:00	8182.75	8272.11	7990.09	8013.30	84200	0	0
2020.01.12	00:00:00	8011.36	8172.88	7945.13	8168.05	83532	0	0
2020.01.13	00:00:00	8168.53	8184.64	8036.90	8096.74	83511	0	0
2020.01.14	00:00:00	8098.21	8872.10	8093.81	8799.34	86148	0	0
2020.01.15	00:00:00	8796.67	8889.26	8546.28	8800.06	85063	0	0
2020.01.16	00:00:00	8800.22	8842.95	8573.76	8705.90	84255	0	0
2020.01.17	00:00:00	8705.78	9001.67	8653.55	8882.11	84522	0	0
2020.01.18	00:00:00	8881.83	8967.15	8793.63	8896.32	83813	0	0
2020.01.19	00:00:00	8894.03	9167.84	8469.28	8689.14	84832	0	0
2020.01.20	00:00:00	8688.29	8728.74	8502.43	8625.80	83833	0	0
2020.01.21	00:00:00	8625.88	8761.01	8481.61	8717.21	83823	0	0
2020.01.22	00:00:00	8717.41	8784.00	8562.80	8655.92	83604	0	0
2020.01.23	00:00:00	8655.95	8660.09	8273.11	8376.04	84392	0	0
2020.01.24	00:00:00	8376.40	8506.71	8213.03	8419.59	84177	0	0
2020.01.25	00:00:00	8419.69	8429.32	8254.15	8319.22	83359	0	0
2020.01.26	00:00:00	8319.46	8594.28	8271.58	8593.46	83796	0	0
2020.01.27	00:00:00	8593.78	8987.03	8549.48	8889.69	84365	0	0
2020.01.28	00:00:00	8889.72	9404.71	8877.07	9378.70	85055	0	0
2020.01.29	00:00:00	9378.89	9424.98	9217.20	9281.62	84389	0	0
2020.01.30	00:00:00	9282.48	9555.35	9178.11	9495.76	84859	0	0
2020.01.31	00:00:00	9496.21	9512.53	9191.29	9331.77	84755	0	0
2020.02.01	00:00:00	9331.91	9449.82	9280.39	9373.55	84351	0	0
2020.02.02	00:00:00	9373.54	9466.26	9125.43	9320.36	66096	0	0
2020.02.03	00:00:00	9322.05	9594.06	9215.86	9274.25	84913	0	0
