<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.12179	1.12241	1.11632	1.11704	18897	0	0
2020.01.03	1.11704	1.11793	1.11246	1.11571	18649	0	0
2020.01.05	1.11616	1.11661	1.11562	1.11597	707	0	0
2020.01.06	1.11600	1.12050	1.11568	1.11950	16191	0	0
2020.01.07	1.11950	1.11966	1.11332	1.11524	19420	0	0
2020.01.08	1.11533	1.11677	1.11014	1.11124	22578	0	0
2020.01.09	1.11125	1.11200	1.10925	1.11086	16825	0	0
2020.01.10	1.11088	1.11286	1.10848	1.11190	15521	0	0
2020.01.12	1.11145	1.11175	1.11120	1.11158	393	0	0
2020.01.13	1.11158	1.11464	1.11122	1.11342	14947	0	0
2020.01.14	1.11341	1.11440	1.11038	1.11272	16386	0	0
2020.01.15	1.11272	1.11628	1.11182	1.11519	15591	0	0
2020.01.16	1.11520	1.11719	1.11276	1.11366	15874	0	0
2020.01.17	1.11366	1.11421	1.10859	1.10892	14168	0	0
2020.01.19	1.10896	1.10940	1.10869	1.10940	489	0	0
2020.01.20	1.10941	1.11018	1.10764	1.10958	11432	0	0
2020.01.21	1.10958	1.11174	1.10785	1.10847	15517	0	0
2020.01.22	1.10847	1.10978	1.10697	1.10952	14685	0	0
2020.01.23	1.10953	1.11081	1.10360	1.10538	19444	0	0
2020.01.24	1.10545	1.10608	1.10194	1.10225	15119	0	0
2020.01.26	1.10279	1.10332	1.10235	1.10238	1215	0	0
2020.01.27	1.10240	1.10371	1.10093	1.10190	14298	0	0
2020.01.28	1.10190	1.10246	1.09976	1.10217	13531	0	0
2020.01.29	1.10217	1.10272	1.09920	1.10134	14636	0	0
2020.01.30	1.10133	1.10387	1.10065	1.10284	15443	0	0
2020.01.31	1.10283	1.10948	1.10165	1.10946	15759	0	0
2020.02.02	1.10895	1.10901	1.10800	1.10887	868	0	0
2020.02.03	1.10887	1.10887	1.10357	1.10618	16063	0	0
2020.02.04	1.10619	1.10636	1.10325	1.10443	14848	0	0
2020.02.05	1.10443	1.10473	1.09932	1.09998	14458	0	0
2020.02.06	1.09999	1.10133	1.09641	1.09804	14284	0	0
2020.02.07	1.09804	1.09845	1.09416	1.09443	16097	0	0
2020.02.09	1.09398	1.09498	1.09397	1.09488	487	0	0
2020.02.10	1.09488	1.09570	1.09073	1.09098	13639	0	0
2020.02.11	1.09098	1.09242	1.08909	1.09185	15369	0	0
2020.02.12	1.09185	1.09251	1.08651	1.08740	16602	0	0
2020.02.13	1.08748	1.08882	1.08337	1.08411	16357	0	0
2020.02.14	1.08410	1.08607	1.08271	1.08301	14443	0	0
2020.02.16	1.08385	1.08411	1.08336	1.08408	702	0	0
2020.02.17	1.08408	1.08504	1.08282	1.08363	12191	0	0
2020.02.18	1.08363	1.08368	1.07853	1.07945	17742	0	0
2020.02.19	1.07945	1.08113	1.07819	1.08093	16593	0	0
2020.02.20	1.08093	1.08204	1.07773	1.07873	20232	0	0
2020.02.21	1.07872	1.08629	1.07868	1.08474	18436	0	0
2020.02.23	1.08214	1.08398	1.08214	1.08380	1207	0	0
2020.02.24	1.08381	1.08715	1.08049	1.08485	24720	0	0
2020.02.25	1.08483	1.08896	1.08300	1.08783	24618	0	0
2020.02.26	1.08790	1.09081	1.08547	1.08847	27326	0	0
2020.02.27	1.08856	1.10057	1.08845	1.09955	32607	0	0
2020.02.28	1.09958	1.10524	1.09506	1.10255	39002	0	0
2020.03.01	1.10411	1.10709	1.10370	1.10515	1726	0	0
2020.03.02	1.10513	1.11839	1.10359	1.11429	45901	0	0
2020.03.03	1.11435	1.12124	1.10950	1.11763	48185	0	0
2020.03.04	1.11762	1.11869	1.10953	1.11377	33910	0	0
2020.03.05	1.11378	1.12443	1.11192	1.12217	33674	0	0
2020.03.06	1.12220	1.13542	1.12113	1.12889	51803	0	0
2020.03.08	1.13423	1.13959	1.13333	1.13873	5722	0	0
2020.03.09	1.13873	1.14960	1.13557	1.13988	101971	0	0
2020.03.10	1.13988	1.14247	1.12747	1.13136	70515	0	0
2020.03.11	1.13136	1.13661	1.12496	1.12609	51565	0	0
2020.03.12	1.12609	1.13329	1.10550	1.11822	95082	0	0
2020.03.13	1.11822	1.12208	1.10548	1.11024	73722	0	0
2020.03.15	1.11221	1.11936	1.11221	1.11572	22986	0	0
2020.03.16	1.11571	1.12362	1.10852	1.11632	84009	0	0
2020.03.17	1.11631	1.11887	1.09547	1.10159	65100	0	0
2020.03.18	1.10161	1.10447	1.08017	1.09437	81938	0	0
2020.03.19	1.09439	1.09488	1.06530	1.06545	111173	0	0
2020.03.20	1.06544	1.08304	1.06374	1.06883	93728	0	0
2020.03.22	1.07021	1.07031	1.06335	1.06887	6776	0	0
2020.03.23	1.06887	1.08276	1.06580	1.07634	88449	0	0
2020.03.24	1.07632	1.08874	1.07456	1.07979	78588	0	0
2020.03.25	1.07980	1.08934	1.07594	1.08882	63572	0	0
2020.03.26	1.08882	1.10582	1.08743	1.10472	66688	0	0
2020.03.27	1.10473	1.11468	1.09531	1.11364	64908	0	0
2020.03.29	1.11170	1.11438	1.11037	1.11362	3230	0	0
2020.03.30	1.11361	1.11380	1.10097	1.10286	57020	0	0
2020.03.31	1.10286	1.10423	1.09263	1.10255	64156	0	0
2020.04.01	1.10257	1.10357	1.09025	1.09510	51116	0	0
2020.04.02	1.09510	1.09639	1.08203	1.08457	51850	0	0
2020.04.03	1.08455	1.08548	1.07725	1.08005	44045	0	0
2020.04.05	1.08112	1.08186	1.07995	1.08051	3357	0	0
2020.04.06	1.08050	1.08347	1.07680	1.07985	44999	0	0
2020.04.07	1.07985	1.09255	1.07901	1.08933	43410	0	0
2020.04.08	1.08932	1.08963	1.08296	1.08594	39485	0	0
2020.04.09	1.08595	1.09513	1.08406	1.09210	42425	0	0
2020.04.10	1.09216	1.09504	1.09169	1.09303	32343	0	0
2020.04.12	1.09376	1.09391	1.09301	1.09312	1895	0	0
2020.04.13	1.09312	1.09673	1.08924	1.09195	27058	0	0
2020.04.14	1.09193	1.09884	1.09147	1.09832	35006	0	0
2020.04.15	1.09830	1.09868	1.08564	1.09033	34286	0	0
2020.04.16	1.09033	1.09068	1.08162	1.08584	42962	0	0
2020.04.17	1.08584	1.08921	1.08117	1.08704	36385	0	0
2020.04.19	1.08672	1.08722	1.08623	1.08634	1765	0	0
2020.04.20	1.08633	1.08961	1.08408	1.08634	33186	0	0
2020.04.21	1.08634	1.08797	1.08163	1.08560	36044	0	0
2020.04.22	1.08560	1.08846	1.08027	1.08058	31502	0	0
2020.04.23	1.08058	1.08461	1.07556	1.07741	41842	0	0
2020.04.24	1.07740	1.08284	1.07267	1.08218	34405	0	0
2020.04.26	1.08182	1.08209	1.08118	1.08205	1368	0	0
2020.04.27	1.08205	1.08596	1.08109	1.08240	32999	0	0
2020.04.28	1.08239	1.08880	1.08093	1.08322	34058	0	0
2020.04.29	1.08322	1.08850	1.08305	1.08770	34141	0	0
2020.04.30	1.08768	1.09721	1.08326	1.09445	45985	0	0
2020.05.01	1.09445	1.10182	1.09342	1.09781	29964	0	0
2020.05.03	1.09695	1.09700	1.09502	1.09603	2219	0	0
2020.05.04	1.09604	1.09605	1.08953	1.09028	31791	0	0
2020.05.05	1.09029	1.09254	1.08255	1.08382	34785	0	0
2020.05.06	1.08381	1.08433	1.07815	1.07977	33407	0	0
2020.05.07	1.07976	1.08398	1.07662	1.08360	36247	0	0
2020.05.08	1.08359	1.08751	1.08148	1.08364	26154	0	0
2020.05.10	1.08238	1.08392	1.08223	1.08375	1829	0	0
2020.05.11	1.08374	1.08500	1.07991	1.08089	30002	0	0
2020.05.12	1.08088	1.08847	1.07840	1.08451	32333	0	0
2020.05.13	1.08451	1.08959	1.08113	1.08207	33297	0	0
2020.05.14	1.08207	1.08235	1.07745	1.08057	31455	0	0
2020.05.15	1.08057	1.08506	1.07885	1.08187	28366	0	0
2020.05.17	1.08081	1.08227	1.08060	1.08184	1506	0	0
2020.05.18	1.08183	1.09265	1.07994	1.09136	32053	0	0
2020.05.19	1.09135	1.09755	1.09018	1.09255	32766	0	0
2020.05.20	1.09255	1.09985	1.09255	1.09794	29196	0	0
2020.05.21	1.09794	1.10078	1.09370	1.09487	30659	0	0
2020.05.22	1.09487	1.09532	1.08849	1.08973	25277	0	0
2020.05.24	1.08950	1.09079	1.08919	1.09077	1235	0	0
2020.05.25	1.09076	1.09140	1.08702	1.09012	18160	0	0
2020.05.26	1.09012	1.09954	1.08964	1.09781	27718	0	0
2020.05.27	1.09780	1.10302	1.09335	1.10162	41190	0	0
2020.05.28	1.10162	1.10930	1.09913	1.10777	38076	0	0
2020.05.29	1.10777	1.11447	1.10696	1.10957	38973	0	0
2020.05.31	1.11113	1.11191	1.10987	1.11153	2417	0	0
2020.06.01	1.11153	1.11534	1.11000	1.11249	34025	0	0
2020.06.02	1.11250	1.11955	1.11147	1.11847	37992	0	0
2020.06.03	1.11847	1.12573	1.11794	1.12346	41910	0	0
2020.06.04	1.12346	1.13619	1.11943	1.13351	48453	0	0
2020.06.05	1.13352	1.13832	1.12781	1.12908	40708	0	0
2020.06.07	1.12939	1.13192	1.12905	1.13157	1993	0	0
2020.06.08	1.13157	1.13180	1.12679	1.13038	34726	0	0
2020.06.09	1.13038	1.13633	1.12406	1.13319	38122	0	0
2020.06.10	1.13318	1.14219	1.13204	1.13664	46513	0	0
2020.06.11	1.13665	1.14031	1.12844	1.12875	53883	0	0
2020.06.12	1.12876	1.13400	1.12122	1.12548	43823	0	0
2020.06.14	1.12327	1.12578	1.12238	1.12513	3963	0	0
2020.06.15	1.12513	1.13377	1.12264	1.13372	44810	0	0
2020.06.16	1.13372	1.13529	1.12273	1.12646	44762	0	0
2020.06.17	1.12646	1.12935	1.12067	1.12416	39302	0	0
2020.06.18	1.12415	1.12609	1.11853	1.12073	37743	0	0
2020.06.19	1.12073	1.12539	1.11678	1.11768	32244	0	0
2020.06.21	1.11778	1.11848	1.11682	1.11762	2475	0	0
2020.06.22	1.11762	1.12805	1.11734	1.12774	32194	0	0
2020.06.23	1.12773	1.13481	1.12327	1.13122	37776	0	0
2020.06.24	1.13121	1.13253	1.12468	1.12495	36204	0	0
2020.06.25	1.12495	1.12593	1.11900	1.12176	33866	0	0
2020.06.26	1.12175	1.12388	1.11949	1.12184	25455	0	0
2020.06.28	1.12191	1.12263	1.12144	1.12216	1371	0	0
2020.06.29	1.12216	1.12873	1.12190	1.12463	28765	0	0
2020.06.30	1.12464	1.12614	1.11907	1.12332	33439	0	0
2020.07.01	1.12332	1.12746	1.11841	1.12508	31056	0	0
2020.07.02	1.12507	1.13022	1.12230	1.12370	28946	0	0
2020.07.03	1.12371	1.12519	1.12190	1.12425	23326	0	0
2020.07.05	1.12421	1.12491	1.12394	1.12463	1028	0	0
2020.07.06	1.12463	1.13449	1.12463	1.13121	28982	0	0
2020.07.07	1.13121	1.13320	1.12585	1.12741	31436	0	0
2020.07.08	1.12741	1.13512	1.12619	1.13369	30528	0	0
2020.07.09	1.13369	1.13702	1.12791	1.12875	34813	0	0
2020.07.10	1.12875	1.13243	1.12545	1.12990	26367	0	0
2020.07.12	1.13002	1.13168	1.12992	1.13082	1734	0	0
2020.07.13	1.13082	1.13744	1.13005	1.13445	29617	0	0
2020.07.14	1.13445	1.14111	1.13248	1.14098	31588	0	0
2020.07.15	1.14097	1.14514	1.13907	1.14165	30597	0	0
2020.07.16	1.14165	1.14413	1.13701	1.13875	32313	0	0
2020.07.17	1.13875	1.14432	1.13772	1.14272	24117	0	0
2020.07.19	1.14146	1.14452	1.14132	1.14418	2354	0	0
2020.07.20	1.14418	1.14673	1.14022	1.14554	34059	0	0
2020.07.21	1.14554	1.15417	1.14226	1.15348	38936	0	0
2020.07.22	1.15347	1.16007	1.15064	1.15643	39680	0	0
2020.07.23	1.15642	1.16262	1.15400	1.15948	36199	0	0
2020.07.24	1.15949	1.16575	1.15809	1.16509	34532	0	0
2020.07.26	1.16407	1.16550	1.16385	1.16494	3968	0	0
2020.07.27	1.16493	1.17808	1.16492	1.17677	40088	0	0
2020.07.28	1.17677	1.17732	1.16983	1.17181	39184	0	0
2020.07.29	1.17182	1.18058	1.17137	1.17804	39296	0	0
2020.07.30	1.17803	1.18759	1.17304	1.18715	41498	0	0
2020.07.31	1.18716	1.19083	1.17613	1.17746	48028	0	0
2020.08.02	1.17701	1.17962	1.17680	1.17808	2664	0	0
2020.08.03	1.17808	1.17884	1.16955	1.17598	41222	0	0
2020.08.04	1.17598	1.18144	1.17210	1.18132	37539	0	0
2020.08.05	1.18132	1.19044	1.17990	1.18718	36430	0	0
2020.08.06	1.18717	1.19156	1.18176	1.18749	46418	0	0
2020.08.07	1.18749	1.18814	1.17550	1.17824	41454	0	0
2020.08.09	1.17853	1.17856	1.17706	1.17808	1752	0	0
2020.08.10	1.17808	1.18002	1.17324	1.17357	31976	0	0
2020.08.11	1.17357	1.18072	1.17218	1.17345	41079	0	0
2020.08.12	1.17346	1.18161	1.17107	1.17937	38632	0	0
2020.08.13	1.17936	1.18636	1.17931	1.18151	38255	0	0
