<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	00:00:00	1.12179	1.12241	1.11632	1.11704	18897	0	0
2020.01.02	01:00:00	1.12179	1.12240	1.12177	1.12232	0	0	0
2020.01.02	01:30:00	1.12232	1.12232	1.12176	1.12205	0	0	0
2020.01.02	02:00:00	1.12206	1.12213	1.12181	1.12212	0	0	0
2020.01.02	02:30:00	1.12212	1.12241	1.12208	1.12219	0	0	0
2020.01.02	03:00:00	1.12219	1.12226	1.12177	1.12178	0	0	0
2020.01.02	03:30:00	1.12178	1.12178	1.12124	1.12129	0	0	0
2020.01.02	04:00:00	1.12129	1.12139	1.12115	1.12118	0	0	0
2020.01.02	04:30:00	1.12118	1.12118	1.12005	1.12007	0	0	0
2020.01.02	05:00:00	1.12007	1.12029	1.12006	1.12014	0	0	0
2020.01.02	05:30:00	1.12014	1.12039	1.12008	1.12039	0	0	0
2020.01.02	06:00:00	1.12039	1.12065	1.12039	1.12049	0	0	0
2020.01.02	06:30:00	1.12049	1.12071	1.12034	1.12068	0	0	0
2020.01.02	07:00:00	1.12069	1.12094	1.12053	1.12058	0	0	0
2020.01.02	07:30:00	1.12060	1.12098	1.12041	1.12094	0	0	0
2020.01.02	08:00:00	1.12093	1.12130	1.12048	1.12072	0	0	0
2020.01.02	08:30:00	1.12072	1.12120	1.12058	1.12116	0	0	0
2020.01.02	09:00:00	1.12113	1.12135	1.12089	1.12096	0	0	0
2020.01.02	09:30:00	1.12096	1.12106	1.12008	1.12026	0	0	0
2020.01.02	10:00:00	1.12026	1.12034	1.11925	1.11928	0	0	0
2020.01.02	10:30:00	1.11928	1.11992	1.11925	1.11979	0	0	0
2020.01.02	11:00:00	1.11979	1.12017	1.11939	1.11943	0	0	0
2020.01.02	11:30:00	1.11943	1.11949	1.11839	1.11843	0	0	0
2020.01.02	12:00:00	1.11843	1.11919	1.11826	1.11912	0	0	0
2020.01.02	12:30:00	1.11912	1.11938	1.11896	1.11926	0	0	0
2020.01.02	13:00:00	1.11926	1.11964	1.11906	1.11950	0	0	0
2020.01.02	13:30:00	1.11950	1.11964	1.11894	1.11960	0	0	0
2020.01.02	14:00:00	1.11960	1.11960	1.11764	1.11770	0	0	0
2020.01.02	14:30:00	1.11771	1.11797	1.11698	1.11736	0	0	0
2020.01.02	15:00:00	1.11737	1.11776	1.11707	1.11735	0	0	0
2020.01.02	15:30:00	1.11735	1.12018	1.11723	1.12001	0	0	0
2020.01.02	16:00:00	1.12001	1.12023	1.11826	1.11840	0	0	0
2020.01.02	16:30:00	1.11840	1.11860	1.11650	1.11657	0	0	0
2020.01.02	17:00:00	1.11657	1.11706	1.11632	1.11700	0	0	0
2020.01.02	17:30:00	1.11700	1.11713	1.11644	1.11692	0	0	0
2020.01.02	18:00:00	1.11694	1.11705	1.11634	1.11671	0	0	0
2020.01.02	18:30:00	1.11671	1.11717	1.11662	1.11699	0	0	0
2020.01.02	19:00:00	1.11699	1.11699	1.11673	1.11678	0	0	0
2020.01.02	19:30:00	1.11678	1.11717	1.11641	1.11661	0	0	0
2020.01.02	20:00:00	1.11661	1.11710	1.11656	1.11706	0	0	0
2020.01.02	20:30:00	1.11706	1.11707	1.11663	1.11688	0	0	0
2020.01.02	21:00:00	1.11688	1.11730	1.11686	1.11728	0	0	0
2020.01.02	21:30:00	1.11729	1.11729	1.11709	1.11718	0	0	0
