<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	206.92	209.17	206.21	209.05	6558	0	11
2020.01.03	209.06	210.32	207.91	208.94	7261	0	11
2020.01.06	208.68	212.09	208.65	212.02	7233	0	11
2020.01.07	211.92	214.47	211.67	212.91	7582	0	11
2020.01.08	213.89	216.17	212.57	215.76	7528	0	11
2020.01.09	217.00	218.17	216.21	218.08	7751	0	11
2020.01.10	217.63	219.80	217.36	217.79	7619	0	11
2020.01.13	219.72	221.79	219.48	221.24	7723	0	11
2020.01.14	220.83	222.28	218.98	219.67	8571	0	11
2020.01.15	220.79	221.60	220.08	220.55	8360	0	11
2020.01.16	221.48	222.45	220.35	221.47	6925	0	11
2020.01.17	220.83	222.22	220.54	221.78	7631	0	11
2020.01.21	220.50	221.80	219.05	221.08	7665	0	11
2020.01.22	221.89	222.56	221.29	221.62	7022	0	11
2020.01.23	220.28	221.40	219.32	219.95	7900	0	11
2020.01.24	221.23	221.46	216.04	217.08	10420	0	11
2020.01.27	214.78	215.97	214.04	214.78	9851	0	11
2020.01.28	214.06	218.66	213.46	218.20	9212	0	11
2020.01.29	220.80	224.09	218.43	223.89	11075	0	11
2020.01.30	208.84	211.31	207.35	209.39	13907	0	11
2020.01.31	206.03	207.32	201.03	201.74	14003	0	11
2020.02.03	204.13	205.04	202.76	203.59	10072	0	11
2020.02.04	206.51	210.52	206.51	209.69	9096	0	11
2020.02.05	210.41	211.56	208.67	209.88	9268	0	11
2020.02.06	210.44	211.12	209.29	210.33	8649	0	11
2020.02.07	210.77	212.73	210.05	211.99	8411	0	11
2020.02.10	211.17	213.70	210.92	212.57	7348	0	11
2020.02.11	207.55	210.78	206.44	207.84	11709	0	11
2020.02.12	208.65	211.14	207.63	210.62	8114	0	11
2020.02.13	210.80	214.25	210.70	212.73	8572	0	11
2020.02.14	213.76	214.84	212.62	214.26	7764	0	11
2020.02.18	215.53	217.84	215.53	217.69	8637	0	11
2020.02.19	217.39	218.24	216.66	217.57	6232	0	11
