,asset,entry time,exit time,entry price,exit price,returns,position
2022-01-07 03:00:00,BTC,2022-01-05 15:00:00,2022-01-07 03:00:00,44261.5616325,42071.5725,0.052063530000000004,SHORT
2022-01-07 10:00:00,BTC,2022-01-07 09:00:00,2022-01-07 10:00:00,41686.946325000004,41434.7175,0.006095730000000001,SHORT
2022-01-08 04:00:00,BTC,2022-01-07 18:00:00,2022-01-08 04:00:00,41469.7512375,42067.619999999995,-0.01419006,SHORT
2022-01-08 13:00:00,BTC,2022-01-08 12:00:00,2022-01-08 13:00:00,41055.8006025,40834.26,0.00539622,SHORT
2022-01-09 11:00:00,BTC,2022-01-09 05:00:00,2022-01-09 11:00:00,41531.7641625,41866.7225,-0.0079944,SHORT
2022-01-10 08:00:00,BTC,2022-01-10 07:00:00,2022-01-10 08:00:00,41216.0002425,40869.3825,0.008494050000000001,SHORT
2022-01-10 21:00:00,BTC,2022-01-10 13:00:00,2022-01-10 21:00:00,41366.4046875,42080.195,-0.016988100000000003,SHORT
2022-01-23 19:00:00,BTC,2022-01-20 19:00:00,2022-01-23 19:00:00,40729.16007,35840.29,0.13630451999999998,SHORT
2022-02-21 00:00:00,BTC,2022-02-18 00:00:00,2022-02-21 00:00:00,40545.28412999999,39228.67,0.03357648,SHORT
2022-02-27 10:00:00,BTC,2022-02-24 10:00:00,2022-02-27 10:00:00,35730.26397,39357.03,0.10142895,LONG
2022-03-01 07:00:00,BTC,2022-02-28 16:00:00,2022-03-01 07:00:00,41701.1695875,44128.76,0.058159260000000004,LONG
2022-03-08 22:00:00,BTC,2022-03-07 16:00:00,2022-03-08 22:00:00,37760.7639375,40362.5775,0.06885177,LONG
2022-03-09 23:00:00,BTC,2022-03-09 03:00:00,2022-03-09 23:00:00,41935.367655,41150.43,-0.01868691,LONG
2022-03-18 12:00:00,BTC,2022-03-16 17:00:00,2022-03-18 12:00:00,40974.696787500005,41530.8475,-0.01339062,SHORT
2022-03-21 21:00:00,BTC,2022-03-20 13:00:00,2022-03-21 21:00:00,41068.8075825,41545.885,-0.011491949999999999,SHORT
2022-03-25 05:00:00,BTC,2022-03-23 10:00:00,2022-03-25 05:00:00,42470.2847025,44184.0325,0.04037172,LONG
2022-03-27 17:00:00,BTC,2022-03-27 16:00:00,2022-03-27 17:00:00,46280.17849500001,46630.5125,0.00759468,LONG
2022-03-29 20:00:00,BTC,2022-03-28 00:00:00,2022-03-29 20:00:00,47093.94891,46950.2825,-0.0030978299999999998,LONG
2022-03-31 09:00:00,BTC,2022-03-29 22:00:00,2022-03-31 09:00:00,47278.1420325,46686.78,-0.01249125,LONG
2022-04-01 10:00:00,BTC,2022-04-01 04:00:00,2022-04-01 10:00:00,45066.5708175,46373.5225,0.0289797,LONG
2022-04-06 09:00:00,BTC,2022-04-05 21:00:00,2022-04-06 09:00:00,45186.7754925,44172.7575,-0.02238432,LONG
2022-04-10 17:00:00,BTC,2022-04-08 20:00:00,2022-04-10 17:00:00,42365.0000925,42356.8825,-0.00019986,LONG
2022-04-16 12:00:00,BTC,2022-04-13 12:00:00,2022-04-16 12:00:00,40964.0124825,40153.0,0.02018586,SHORT
2022-04-20 20:00:00,BTC,2022-04-20 14:00:00,2022-04-20 20:00:00,41050.82808,41614.17,-0.01349055,SHORT
2022-04-24 16:00:00,BTC,2022-04-21 16:00:00,2022-04-24 16:00:00,40644.110205,39633.37,0.02548215,SHORT
2022-05-07 16:00:00,BTC,2022-05-05 14:00:00,2022-05-07 16:00:00,36130.016317500005,35408.2425,0.020385720000000003,SHORT
2022-05-10 23:00:00,BTC,2022-05-07 23:00:00,2022-05-10 23:00:00,34454.8781325,31218.02,0.10362741,SHORT
2022-05-28 02:00:00,BTC,2022-05-27 13:00:00,2022-05-28 02:00:00,28378.515577500002,28871.8175,-0.01708803,SHORT
2022-06-04 11:00:00,BTC,2022-06-01 11:00:00,2022-06-04 11:00:00,30518.9679825,29751.41,0.02578194,SHORT
2022-06-06 10:00:00,BTC,2022-06-06 01:00:00,2022-06-06 10:00:00,31228.3528875,31442.517499999998,-0.006795239999999999,SHORT
2022-06-09 20:00:00,BTC,2022-06-06 20:00:00,2022-06-09 20:00:00,29799.81036,29885.72,-0.0028979699999999997,SHORT
2022-06-14 08:00:00,BTC,2022-06-11 08:00:00,2022-06-14 08:00:00,28590.91047,22411.33,0.27550701,SHORT
2022-07-13 07:00:00,BTC,2022-07-10 09:00:00,2022-07-13 07:00:00,20944.1174175,19512.4175,0.07334862,SHORT
2022-07-18 14:00:00,BTC,2022-07-18 01:00:00,2022-07-18 14:00:00,22024.510942499997,21680.155,-0.01558908,LONG
2022-07-19 01:00:00,BTC,2022-07-18 19:00:00,2022-07-19 01:00:00,22454.2607625,21867.7725,-0.02608173,LONG
2022-07-22 04:00:00,BTC,2022-07-19 04:00:00,2022-07-22 04:00:00,21878.924175,23448.78,0.07174974,LONG
2022-07-27 21:00:00,BTC,2022-07-27 14:00:00,2022-07-27 21:00:00,22726.038712499998,23055.0625,0.01448985,LONG
2022-07-29 07:00:00,BTC,2022-07-28 12:00:00,2022-07-29 07:00:00,23880.3582375,23604.440000000002,-0.011591879999999999,LONG
2022-07-30 17:00:00,BTC,2022-07-29 10:00:00,2022-07-30 17:00:00,23972.798205000003,23731.715,-0.01009293,LONG
2022-07-31 13:00:00,BTC,2022-07-30 22:00:00,2022-07-31 13:00:00,23733.3603825,23769.8975,0.00149895,LONG
2022-07-31 17:00:00,BTC,2022-07-31 15:00:00,2022-07-31 17:00:00,23802.678495,23447.325,-0.01488957,LONG
2022-08-08 17:00:00,BTC,2022-08-08 04:00:00,2022-08-08 17:00:00,24093.227655000002,23797.2675,-0.012291390000000001,LONG
2022-08-12 05:00:00,BTC,2022-08-10 20:00:00,2022-08-12 05:00:00,24231.3568875,23859.97,-0.015289289999999999,LONG
2022-08-15 11:00:00,BTC,2022-08-12 11:00:00,2022-08-15 11:00:00,23977.903094999998,24254.0,0.011491949999999999,LONG
2022-08-16 09:00:00,BTC,2022-08-16 02:00:00,2022-08-16 09:00:00,23992.178805,23803.745,-0.00789447,LONG
2022-08-17 03:00:00,BTC,2022-08-16 16:00:00,2022-08-17 03:00:00,23924.9286225,23801.4525,-0.00519636,LONG
2022-08-21 04:00:00,BTC,2022-08-20 01:00:00,2022-08-21 04:00:00,21202.488787500002,21404.8825,-0.00949335,SHORT
2022-08-22 10:00:00,BTC,2022-08-22 03:00:00,2022-08-22 10:00:00,21072.411494999997,21309.8475,-0.01109223,SHORT
2022-08-22 18:00:00,BTC,2022-08-22 14:00:00,2022-08-22 18:00:00,21027.901049999997,21288.0175,-0.012191460000000001,SHORT
2022-08-29 10:00:00,BTC,2022-08-26 10:00:00,2022-08-29 10:00:00,20914.709355,20262.28,0.03217746,SHORT
2022-09-07 13:00:00,BTC,2022-09-06 15:00:00,2022-09-07 13:00:00,18847.788344999997,19055.545,-0.01089237,SHORT
2022-09-16 10:00:00,BTC,2022-09-13 10:00:00,2022-09-16 10:00:00,20894.0375475,19661.24,0.06265611,SHORT
2022-09-21 05:00:00,BTC,2022-09-20 13:00:00,2022-09-21 05:00:00,18858.6799425,19050.265,-0.01009293,SHORT
2022-09-22 03:00:00,BTC,2022-09-21 17:00:00,2022-09-22 03:00:00,18377.049555,19082.129999999997,-0.036874170000000005,SHORT
2022-09-23 17:00:00,BTC,2022-09-23 09:00:00,2022-09-23 17:00:00,18630.246105000002,19169.945,-0.02818026,SHORT
2022-09-26 03:00:00,BTC,2022-09-25 17:00:00,2022-09-26 03:00:00,18748.902329999997,19093.27,-0.017987399999999997,SHORT
2022-09-28 07:00:00,BTC,2022-09-27 22:00:00,2022-09-28 07:00:00,18676.359945,19023.765,-0.018287190000000002,SHORT
2022-10-08 16:00:00,BTC,2022-10-07 14:00:00,2022-10-08 16:00:00,19433.514532499998,19366.760000000002,-0.0033976199999999996,LONG
2022-10-10 03:00:00,BTC,2022-10-09 06:00:00,2022-10-10 03:00:00,19474.49601,19293.3325,-0.00929349,LONG
2022-10-13 07:00:00,BTC,2022-10-13 06:00:00,2022-10-13 07:00:00,18713.944822499998,18589.8475,0.00669531,SHORT
